iter	MultiClass
0	-1.087730034
1	-1.071740009
2	-1.058765336
3	-1.045865992
4	-1.036283227
5	-1.024620185
6	-1.013098441
7	-1.000869427
8	-0.9898783546
9	-0.9798943328
10	-0.9703892456
11	-0.9564596915
12	-0.9461546882
13	-0.9309673667
14	-0.921653361
15	-0.9115924303
16	-0.9045466051
17	-0.8956018497
18	-0.8875001657
19	-0.8741965247
20	-0.8643434048
21	-0.8537664384
22	-0.8422273223
23	-0.8300727913
24	-0.8206086531
25	-0.8138550118
26	-0.8068603864
27	-0.7997701208
28	-0.7894050128
29	-0.781029537
30	-0.77486619
31	-0.7651344281
32	-0.7530596078
33	-0.7444875338
34	-0.7384851218
35	-0.7310181157
36	-0.7261978369
37	-0.7184043966
38	-0.7100569921
39	-0.7021588639
40	-0.6957868419
41	-0.6885111346
42	-0.6794986373
43	-0.6682586199
44	-0.6625030745
45	-0.6536672449
46	-0.6469686985
47	-0.6405315393
48	-0.633736287
49	-0.6267963448
50	-0.6219691998
51	-0.6148869798
52	-0.606698265
53	-0.6003918648
54	-0.59544334
55	-0.5898661844
56	-0.5847472794
57	-0.5789086583
58	-0.572911479
59	-0.5678637512
60	-0.5629097154
61	-0.5576509458
62	-0.5508591889
63	-0.5446706325
64	-0.5388369415
65	-0.5332251391
66	-0.5274086528
67	-0.5218345372
68	-0.5165465221
69	-0.5127484796
70	-0.5076571916
71	-0.503425344
72	-0.4974747306
73	-0.4927088451
74	-0.4869583374
75	-0.4828286565
76	-0.4778990729
77	-0.4748894607
78	-0.4722518162
79	-0.4676320009
80	-0.4639561229
81	-0.4602126523
82	-0.4563432562
83	-0.4524508814
84	-0.4488111146
85	-0.4444904053
86	-0.4400042084
87	-0.436449791
88	-0.4326816064
89	-0.429566762
90	-0.4267817314
91	-0.4220176672
92	-0.417382151
93	-0.4123690773
94	-0.4092835454
95	-0.4047801644
96	-0.4013904071
97	-0.3973737525
98	-0.3933781762
99	-0.3904813795
100	-0.3881202638
101	-0.3848464064
102	-0.3810315636
103	-0.3761491162
104	-0.3726279227
105	-0.3685248763
106	-0.3649495178
107	-0.3611728644
108	-0.3585036097
109	-0.3552823302
110	-0.3528986728
111	-0.3488776671
112	-0.3453973007
113	-0.3423388866
114	-0.3398846434
