iter	Passed	Remaining
0	11	11374
1	22	11016
2	27	9074
3	35	8737
4	45	8969
5	55	9184
6	63	9078
7	72	8957
8	80	8853
9	88	8753
10	96	8680
11	104	8626
12	114	8699
13	121	8540
14	129	8499
15	135	8362
16	142	8234
17	152	8295
18	162	8366
19	168	8262
20	173	8092
21	181	8081
22	190	8072
23	196	7987
24	203	7919
25	212	7945
26	222	8015
27	232	8087
28	237	7968
29	246	7961
30	252	7905
31	259	7851
32	266	7795
33	271	7703
34	281	7749
35	291	7798
36	297	7746
37	307	7789
38	314	7742
39	324	7784
40	334	7815
41	344	7849
42	350	7807
43	355	7728
44	365	7759
45	372	7719
46	382	7749
47	394	7821
48	401	7786
49	408	7759
50	415	7722
51	421	7686
52	430	7684
53	436	7651
54	446	7676
55	456	7699
56	464	7692
57	474	7710
58	482	7701
59	492	7720
60	502	7736
61	509	7701
62	515	7670
63	521	7622
64	530	7626
65	539	7636
66	546	7616
67	557	7646
68	568	7666
69	580	7707
70	590	7730
71	602	7759
72	609	7738
73	620	7760
74	625	7717
75	636	7741
76	647	7762
77	658	7784
78	669	7803
79	677	7785
80	687	7803
81	698	7818
82	709	7835
83	720	7852
84	728	7845
85	739	7860
86	748	7855
87	759	7871
88	766	7848
89	777	7863
90	791	7909
91	801	7912
92	809	7893
93	817	7878
94	831	7917
95	840	7912
96	849	7904
97	857	7896
98	864	7871
99	875	7881
100	886	7890
101	895	7881
102	900	7842
103	905	7804
104	914	7795
105	921	7773
106	930	7763
107	937	7740
108	945	7731
109	954	7725
110	965	7730
111	973	7721
112	983	7719
113	995	7733
114	1007	7751
115	1018	7764
116	1030	7779
117	1043	7797
118	1050	7779
119	1059	7767
120	1064	7733
121	1073	7728
122	1082	7721
123	1091	7711
124	1099	7693
125	1109	7696
126	1116	7671
127	1121	7640
128	1132	7649
129	1139	7628
130	1147	7610
131	1158	7615
132	1166	7603
133	1173	7584
134	1181	7567
135	1187	7543
136	1194	7526
137	1205	7528
138	1212	7512
